train,train_label,val,val_label,test,test_label
normal_083,0.0,normal_067,0.0,test_001,1.0
normal_110,0.0,tumor_066,1.0,test_002,1.0
normal_021,0.0,normal_010,0.0,test_003,0.0
normal_058,0.0,normal_107,0.0,test_004,1.0
normal_063,0.0,normal_102,0.0,test_005,0.0
normal_047,0.0,tumor_101,1.0,test_006,0.0
normal_117,0.0,normal_150,0.0,test_007,0.0
normal_075,0.0,normal_069,0.0,test_008,1.0
normal_033,0.0,normal_106,0.0,test_009,0.0
normal_005,0.0,normal_122,0.0,test_010,1.0
normal_131,0.0,tumor_050,1.0,test_011,1.0
normal_044,0.0,normal_126,0.0,test_012,0.0
normal_133,0.0,tumor_102,1.0,test_013,1.0
normal_020,0.0,normal_156,0.0,test_014,0.0
normal_064,0.0,normal_095,0.0,test_015,0.0
normal_096,0.0,normal_099,0.0,test_016,1.0
normal_072,0.0,normal_094,0.0,test_017,0.0
normal_105,0.0,normal_061,0.0,test_018,0.0
normal_097,0.0,normal_160,0.0,test_019,0.0
normal_028,0.0,tumor_039,1.0,test_020,0.0
normal_009,0.0,normal_091,0.0,test_021,1.0
normal_041,0.0,tumor_105,1.0,test_022,0.0
normal_055,0.0,normal_073,0.0,test_023,0.0
normal_053,0.0,normal_151,0.0,test_024,0.0
normal_100,0.0,tumor_053,1.0,test_025,0.0
normal_112,0.0,tumor_025,1.0,test_026,1.0
normal_113,0.0,normal_145,0.0,test_027,1.0
normal_123,0.0,,,test_028,0.0
normal_029,0.0,,,test_029,1.0
normal_124,0.0,,,test_030,1.0
normal_065,0.0,,,test_031,0.0
normal_080,0.0,,,test_032,0.0
normal_115,0.0,,,test_033,1.0
normal_026,0.0,,,test_034,0.0
normal_038,0.0,,,test_035,0.0
normal_136,0.0,,,test_036,0.0
normal_030,0.0,,,test_037,0.0
normal_119,0.0,,,test_038,1.0
normal_016,0.0,,,test_039,0.0
normal_025,0.0,,,test_040,1.0
normal_134,0.0,,,test_041,0.0
normal_089,0.0,,,test_042,0.0
normal_074,0.0,,,test_043,0.0
